LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
ARG,GDP,TOT,USD_CAP,A,2006,15460.41412,
ARG,GDP,TOT,USD_CAP,A,2007,17136.46023,
ARG,GDP,TOT,USD_CAP,A,2008,18000.20315,
ARG,GDP,TOT,USD_CAP,A,2009,16898.99172,
ARG,GDP,TOT,USD_CAP,A,2010,18524.85676,
ARG,GDP,TOT,USD_CAP,A,2011,19817.45048,
ARG,GDP,TOT,USD_CAP,A,2012,19764.22501,
ARG,GDP,TOT,USD_CAP,A,2013,20365.61335,
ARG,GDP,TOT,USD_CAP,A,2014,20008.32064,
ARG,GDP,TOT,USD_CAP,A,2015,20551.83319,
ARG,GDP,TOT,USD_CAP,A,2016,20130.40803,
AUS,GDP,TOT,USD_CAP,A,2006,37844.78209,
AUS,GDP,TOT,USD_CAP,A,2007,39597.74312,
AUS,GDP,TOT,USD_CAP,A,2008,40094.83321,
AUS,GDP,TOT,USD_CAP,A,2009,41615.32666,
AUS,GDP,TOT,USD_CAP,A,2010,42787.35854,
AUS,GDP,TOT,USD_CAP,A,2011,44419.30975,
AUS,GDP,TOT,USD_CAP,A,2012,43879.18036,
AUS,GDP,TOT,USD_CAP,A,2013,47761.21406,
AUS,GDP,TOT,USD_CAP,A,2014,47638.63344,
AUS,GDP,TOT,USD_CAP,A,2015,47351.04729,
AUS,GDP,TOT,USD_CAP,A,2016,50309.40573,
BGR,GDP,TOT,USD_CAP,A,2006,11249.36626,
BGR,GDP,TOT,USD_CAP,A,2007,12606.95651,
BGR,GDP,TOT,USD_CAP,A,2008,14089.68769,
BGR,GDP,TOT,USD_CAP,A,2009,13925.02386,
BGR,GDP,TOT,USD_CAP,A,2010,14598.5855,
BGR,GDP,TOT,USD_CAP,A,2011,15661.19215,
BGR,GDP,TOT,USD_CAP,A,2012,16241.60731,P
BGR,GDP,TOT,USD_CAP,A,2013,16581.78042,P
BGR,GDP,TOT,USD_CAP,A,2014,17555.51587,P
BGR,GDP,TOT,USD_CAP,A,2015,18342.03989,P
BGR,GDP,TOT,USD_CAP,A,2016,20009.53859,P
CHN,GDP,TOT,USD_CAP,A,2006,5852.349553,
CHN,GDP,TOT,USD_CAP,A,2007,6829.424541,
CHN,GDP,TOT,USD_CAP,A,2008,7595.73421,
CHN,GDP,TOT,USD_CAP,A,2009,8332.410641,
CHN,GDP,TOT,USD_CAP,A,2010,9281.496213,
CHN,GDP,TOT,USD_CAP,A,2011,10330.74736,
CHN,GDP,TOT,USD_CAP,A,2012,11300.2965,
CHN,GDP,TOT,USD_CAP,A,2013,12331.05589,
CHN,GDP,TOT,USD_CAP,A,2014,13411.504,
CHN,GDP,TOT,USD_CAP,A,2015,14419.24482,
CHN,GDP,TOT,USD_CAP,A,2016,15467.89029,
COL,GDP,TOT,USD_CAP,A,2006,8993.624772,
COL,GDP,TOT,USD_CAP,A,2007,9750.675936,
COL,GDP,TOT,USD_CAP,A,2008,10143.05526,
COL,GDP,TOT,USD_CAP,A,2009,10222.23023,
COL,GDP,TOT,USD_CAP,A,2010,10665.09178,
COL,GDP,TOT,USD_CAP,A,2011,11553.6719,
COL,GDP,TOT,USD_CAP,A,2012,12093.74554,
COL,GDP,TOT,USD_CAP,A,2013,12720.7142,E
COL,GDP,TOT,USD_CAP,A,2014,13420.23105,
COL,GDP,TOT,USD_CAP,A,2015,13807.7748,
COL,GDP,TOT,USD_CAP,A,2016,14091.02618,
DEU,GDP,TOT,USD_CAP,A,2006,34624.96888,
DEU,GDP,TOT,USD_CAP,A,2007,36820.15324,
DEU,GDP,TOT,USD_CAP,A,2008,38432.44821,
DEU,GDP,TOT,USD_CAP,A,2009,37501.12756,
DEU,GDP,TOT,USD_CAP,A,2010,39703.55809,
DEU,GDP,TOT,USD_CAP,A,2011,42541.51313,
DEU,GDP,TOT,USD_CAP,A,2012,43359.54105,
DEU,GDP,TOT,USD_CAP,A,2013,44993.66784,
DEU,GDP,TOT,USD_CAP,A,2014,47011.2804,
DEU,GDP,TOT,USD_CAP,A,2015,47683.5473,
DEU,GDP,TOT,USD_CAP,A,2016,50564.04928,
FRA,GDP,TOT,USD_CAP,A,2007,34092.91957,
FRA,GDP,TOT,USD_CAP,A,2008,35102.87043,
FRA,GDP,TOT,USD_CAP,A,2009,34719.50499,
FRA,GDP,TOT,USD_CAP,A,2010,35936.04187,
FRA,GDP,TOT,USD_CAP,A,2011,37447.94954,
FRA,GDP,TOT,USD_CAP,A,2012,37684.19807,
FRA,GDP,TOT,USD_CAP,A,2013,39528.47364,
FRA,GDP,TOT,USD_CAP,A,2014,40144.05949,
FRA,GDP,TOT,USD_CAP,A,2015,40840.8483,
FRA,GDP,TOT,USD_CAP,A,2016,42853.53936,
GBR,GDP,TOT,USD_CAP,A,2006,34772.47846,
GBR,GDP,TOT,USD_CAP,A,2007,35599.40067,
GBR,GDP,TOT,USD_CAP,A,2008,36650.10126,
GBR,GDP,TOT,USD_CAP,A,2009,35038.59208,
GBR,GDP,TOT,USD_CAP,A,2010,36371.61827,
GBR,GDP,TOT,USD_CAP,A,2011,37146.17327,
GBR,GDP,TOT,USD_CAP,A,2012,38309.02831,
GBR,GDP,TOT,USD_CAP,A,2013,39984.88504,
GBR,GDP,TOT,USD_CAP,A,2014,41269.35163,
GBR,GDP,TOT,USD_CAP,A,2015,42522.18384,
GBR,GDP,TOT,USD_CAP,A,2016,44138.04321,
GRC,GDP,TOT,USD_CAP,A,2006,28514.6294,
GRC,GDP,TOT,USD_CAP,A,2007,29289.73554,
GRC,GDP,TOT,USD_CAP,A,2008,30855.93577,
GRC,GDP,TOT,USD_CAP,A,2009,30388.35209,
GRC,GDP,TOT,USD_CAP,A,2010,28169.37708,
GRC,GDP,TOT,USD_CAP,A,2011,26141.09103,P
GRC,GDP,TOT,USD_CAP,A,2012,25284.40578,P
GRC,GDP,TOT,USD_CAP,A,2013,26097.79752,P
GRC,GDP,TOT,USD_CAP,A,2014,26838.58227,P
GRC,GDP,TOT,USD_CAP,A,2015,26902.32761,P
GRC,GDP,TOT,USD_CAP,A,2016,27823.31489,P
IDN,GDP,TOT,USD_CAP,A,2006,7300.866433,E
IDN,GDP,TOT,USD_CAP,A,2007,7853.303708,E
IDN,GDP,TOT,USD_CAP,A,2008,8360.442284,
IDN,GDP,TOT,USD_CAP,A,2009,8508.180961,
IDN,GDP,TOT,USD_CAP,A,2010,8399.655991,
IDN,GDP,TOT,USD_CAP,A,2011,8973.562971,
IDN,GDP,TOT,USD_CAP,A,2012,9561.447727,
IDN,GDP,TOT,USD_CAP,A,2013,10129.88143,
IDN,GDP,TOT,USD_CAP,A,2014,10694.44797,
IDN,GDP,TOT,USD_CAP,A,2015,11189.58354,
IDN,GDP,TOT,USD_CAP,A,2016,11732.33072,
IND,GDP,TOT,USD_CAP,A,2006,3362.269982,E
IND,GDP,TOT,USD_CAP,A,2007,3696.164165,E
IND,GDP,TOT,USD_CAP,A,2008,3841.684247,E
IND,GDP,TOT,USD_CAP,A,2009,4104.00909,E
IND,GDP,TOT,USD_CAP,A,2010,4420.893038,E
IND,GDP,TOT,USD_CAP,A,2011,4739.373347,
IND,GDP,TOT,USD_CAP,A,2012,5031.957154,
IND,GDP,TOT,USD_CAP,A,2013,5377.580201,
IND,GDP,TOT,USD_CAP,A,2014,5811.02644,
IND,GDP,TOT,USD_CAP,A,2015,6260.1356,
IND,GDP,TOT,USD_CAP,A,2016,6717.282686,
ITA,GDP,TOT,USD_CAP,A,2006,32256.66822,
ITA,GDP,TOT,USD_CAP,A,2007,33903.20805,
ITA,GDP,TOT,USD_CAP,A,2008,35274.31272,
ITA,GDP,TOT,USD_CAP,A,2009,34355.46446,
ITA,GDP,TOT,USD_CAP,A,2010,34857.26656,
ITA,GDP,TOT,USD_CAP,A,2011,36183.31603,
ITA,GDP,TOT,USD_CAP,A,2012,36002.9087,
ITA,GDP,TOT,USD_CAP,A,2013,36067.70734,
ITA,GDP,TOT,USD_CAP,A,2014,36194.91667,
ITA,GDP,TOT,USD_CAP,A,2015,36909.29684,
ITA,GDP,TOT,USD_CAP,A,2016,39918.30241,
JPN,GDP,TOT,USD_CAP,A,2006,33094.33769,
JPN,GDP,TOT,USD_CAP,A,2007,34507.17007,
JPN,GDP,TOT,USD_CAP,A,2008,34803.65781,
JPN,GDP,TOT,USD_CAP,A,2009,33201.98695,
JPN,GDP,TOT,USD_CAP,A,2010,34994.37223,
JPN,GDP,TOT,USD_CAP,A,2011,35775.25633,
JPN,GDP,TOT,USD_CAP,A,2012,37213.8374,
JPN,GDP,TOT,USD_CAP,A,2013,39008.36056,
JPN,GDP,TOT,USD_CAP,A,2014,39183.46568,
JPN,GDP,TOT,USD_CAP,A,2015,40406.09533,
JPN,GDP,TOT,USD_CAP,A,2016,40023.59246,
MEX,GDP,TOT,USD_CAP,A,2006,13720.68823,
MEX,GDP,TOT,USD_CAP,A,2007,14233.02948,
MEX,GDP,TOT,USD_CAP,A,2008,14885.90244,
MEX,GDP,TOT,USD_CAP,A,2009,14532.38652,
MEX,GDP,TOT,USD_CAP,A,2010,15257.67356,
MEX,GDP,TOT,USD_CAP,A,2011,16546.64141,
MEX,GDP,TOT,USD_CAP,A,2012,17220.06914,
MEX,GDP,TOT,USD_CAP,A,2013,17461.79827,
MEX,GDP,TOT,USD_CAP,A,2014,18167.51795,
MEX,GDP,TOT,USD_CAP,A,2015,18438.04408,
MEX,GDP,TOT,USD_CAP,A,2016,19505.27154,P
PER,GDP,TOT,USD_CAP,A,2007,8098.434185,
PER,GDP,TOT,USD_CAP,A,2008,8907.759314,
PER,GDP,TOT,USD_CAP,A,2009,8972.800803,
PER,GDP,TOT,USD_CAP,A,2010,9723.603632,
PER,GDP,TOT,USD_CAP,A,2011,10435.87132,
PER,GDP,TOT,USD_CAP,A,2012,11162.35349,
PER,GDP,TOT,USD_CAP,A,2013,11891.63251,P
PER,GDP,TOT,USD_CAP,A,2014,12270.17918,P
POL,GDP,TOT,USD_CAP,A,2006,15143.17634,
POL,GDP,TOT,USD_CAP,A,2007,16788.67016,
POL,GDP,TOT,USD_CAP,A,2008,18315.04564,
POL,GDP,TOT,USD_CAP,A,2009,19095.05457,
POL,GDP,TOT,USD_CAP,A,2010,20804.75361,
POL,GDP,TOT,USD_CAP,A,2011,22576.17938,
POL,GDP,TOT,USD_CAP,A,2012,23542.00296,
POL,GDP,TOT,USD_CAP,A,2013,24422.76391,
POL,GDP,TOT,USD_CAP,A,2014,25297.95045,
POL,GDP,TOT,USD_CAP,A,2015,26529.0368,
POL,GDP,TOT,USD_CAP,A,2016,27947.39031,
SAU,GDP,TOT,USD_CAP,A,2006,41791.16649,
SAU,GDP,TOT,USD_CAP,A,2007,42539.46976,
SAU,GDP,TOT,USD_CAP,A,2008,44854.82318,
SAU,GDP,TOT,USD_CAP,A,2009,43069.4454,
SAU,GDP,TOT,USD_CAP,A,2010,44491.84513,
SAU,GDP,TOT,USD_CAP,A,2011,48524.63974,
SAU,GDP,TOT,USD_CAP,A,2012,50611.03068,
SAU,GDP,TOT,USD_CAP,A,2013,51373.6575,
SAU,GDP,TOT,USD_CAP,A,2014,52790.29836,
SAU,GDP,TOT,USD_CAP,A,2015,54172.11083,
SAU,GDP,TOT,USD_CAP,A,2016,54439.84234,
TUR,GDP,TOT,USD_CAP,A,2006,13513.39443,
TUR,GDP,TOT,USD_CAP,A,2007,14726.31117,
TUR,GDP,TOT,USD_CAP,A,2008,15910.70013,
TUR,GDP,TOT,USD_CAP,A,2009,15347.18579,
TUR,GDP,TOT,USD_CAP,A,2010,17244.58697,
TUR,GDP,TOT,USD_CAP,A,2011,19445.13323,
TUR,GDP,TOT,USD_CAP,A,2012,20473.4387,
TUR,GDP,TOT,USD_CAP,A,2013,22204.86535,
TUR,GDP,TOT,USD_CAP,A,2014,23982.61254,
TUR,GDP,TOT,USD_CAP,A,2015,25727.60465,
TUR,GDP,TOT,USD_CAP,A,2016,26509.93721,
USA,GDP,TOT,USD_CAP,A,2006,46230.8462,
USA,GDP,TOT,USD_CAP,A,2007,47902.06035,
USA,GDP,TOT,USD_CAP,A,2008,48311.2237,
USA,GDP,TOT,USD_CAP,A,2009,47028.1604,
USA,GDP,TOT,USD_CAP,A,2010,48395.80347,
USA,GDP,TOT,USD_CAP,A,2011,49810.69951,
USA,GDP,TOT,USD_CAP,A,2012,51540.96832,
USA,GDP,TOT,USD_CAP,A,2013,53045.94512,
USA,GDP,TOT,USD_CAP,A,2014,54993.16949,
USA,GDP,TOT,USD_CAP,A,2015,56770.41735,
USA,GDP,TOT,USD_CAP,A,2016,57884.49107,
ZMB,GDP,TOT,USD_CAP,A,2006,2393.216756,
ZMB,GDP,TOT,USD_CAP,A,2007,2589.986172,
ZMB,GDP,TOT,USD_CAP,A,2008,2768.860353,
ZMB,GDP,TOT,USD_CAP,A,2009,2961.483104,
ZMB,GDP,TOT,USD_CAP,A,2010,3212.447852,
ZMB,GDP,TOT,USD_CAP,A,2011,3361.606878,
ZMB,GDP,TOT,USD_CAP,A,2012,3576.373281,
ZMB,GDP,TOT,USD_CAP,A,2013,3701.581648,
ZMB,GDP,TOT,USD_CAP,A,2014,3826.164471,
ZMB,GDP,TOT,USD_CAP,A,2015,3862.128452,
ZMB,GDP,TOT,USD_CAP,A,2016,3937.429913,
